"1","31246 Harris Mews Suite 936","(40.6725°/120.7126°)",
"2","21911 Marielle Brooks","(40.7125°/420.7126°)",
"3","0169 Vickie Cliff Apt. 914"," (25.7127°/620.7128°)",
"4","0233 Wolff Station","(40.6725°/120.7126°)",
"5","30778 Rice Glens","(3.7125°/2.7126°)",
"6","9376 Crona Turnpike"," (67.7127°/30.7128°)",
"7","0712 Sonia Glen","(80.7125°/420.7126°)",
"8","4577 Jazmin Locks","(50.7125°/420.3126°)",
"9","5374 Felipa Greens","(80.7125°/420.7126°)",
"10","836 Gutkowski Throughway","(40.7125°/950.7126°)",
"11","98786 Bailey Curve Suite 385","(20.325°/432.7126°)",
"12","55941 Parisian Fall"," (40.7127°/420.7128°)",
"13","879 Rolfson Rest"," (25.7127°/620.7128°)",
"14","3691 Cornell Springs","(30.7175°/520.7126°)",
"15","79928 Sasha Isle Apt. 534","(40.7125°/420.7126°)",
"16","7469 Naomie Avenue Apt. 123","(30.7175°/520.7126°)",
"17","383 Warren Plains Apt. 695","(40.7125°/420.7126°)",
"18","535 Weissnat Brook Suite 818"," (25.7127°/620.7128°)",
"19","102 Beatty Center Apt. 162"," (10.7127°/20.7128°)",
"20","9832 Beahan Lights Suite 664","(3.7125°/2.7126°)",
